50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y
,,,,"[74.5, 72.4]",,,,,,,,,,,,1.338789,,,,,,,,,,,,,85aaea6e-7db3-4be4-b903-9425076fe2e1,2040,,,"[74.5, 71.7]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,105,Paris Saint-Germain,131,"['45102d58-fd0b-46fa-82cb-6076a76cd4e1', '5fc16e25-ed4a-461d-8d37-f4cba9e4ff50']",20,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:20.487,Carry,,74.5,71.7,,,74.5,72.4
,,,,"[67.9, 75.3]",,,,,,,,,,,,0.564105,,,,,,,,,,,,,fd980639-2233-4284-978c-1f23f32be4d4,2045,,,"[68.1, 75.3]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Serge Aurier,3481.0,Right Back,105,Paris Saint-Germain,131,"['3542be26-d489-4414-a5a2-dbd173147a60', 'db2cc1d3-d04f-4971-af18-4f3959087d1e']",23,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:23.548,Carry,,68.1,75.3,,,67.9,75.3
,,,,"[47.9, 64.5]",,,,,,,,,,,,3.574286,,,,,,,,,,,,,0ae06c9c-313f-4448-b78b-d2115cf9a20d,2048,,,"[47.9, 64.5]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,105,Paris Saint-Germain,131,"['5128db06-3742-49a7-9c0a-d50c6a085f40', '66f66abb-d33d-49ef-91d7-0d549e08c55f']",25,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:25.497,Carry,,47.9,64.5,,,47.9,64.5
,,,,"[62.6, 50.6]",,,,,,,,,,,,0.738614,,,,,,,,,,,,,d922cf00-06bd-42ea-9c81-cea9bf3c067d,2052,,,"[64.3, 53.3]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,105,Paris Saint-Germain,131,"['272d7119-b71e-49c9-bbda-9bae301a5860', 'f3c1100c-f324-43c2-bc50-5b2606d743a6', 'f443cfc0-c28b-4634-89d4-5c20c2a6568f']",30,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:30.467,Carry,True,64.3,53.3,,,62.6,50.6
,,,,"[82.9, 31.9]",,,,,,,,,,,,1.697091,,,,,,,,,,,,,37c290aa-996d-40ac-a64a-ef0cc8d998b3,2055,,,"[75.4, 39.9]",3829500,50,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Blaise Matuidi,4375.0,Left Center Midfield,105,Paris Saint-Germain,131,"['0f07badb-174a-466f-bc7c-1b50c159db85', '2988e897-1af1-44cc-86cf-a81c49af16fe']",32,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:05:32.035,Carry,,75.4,39.9,,,82.9,31.9
,,,,"[48.3, 72.4]",,,,,,,,,,,,1.347877,,,,,,,,,,,,,0336ee37-6779-4f11-bd7f-9a0e7d978f9b,2071,,,"[50.0, 73.1]",3829500,51,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Lucas Silva Borges,25199.0,Left Defensive Midfield,107,Marseille,147,"['c519d9f5-b2bb-4514-89fc-786a032cbcbf', 'e819e9b7-fa5d-471a-8971-d8f9292dc70f']",31,,,,,,,,,,,,,,,,,,Marseille,147,00:06:31.001,Carry,,50.0,73.1,,,48.3,72.4
,,,,"[64.5, 50.7]",,,,,,,,,,,,0.213209,,,,,,,,,,,,,c728fa1d-5a45-4a38-b6c1-80370e755e67,2075,,,"[67.6, 50.9]",3829500,51,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Michy Batshuayi Tunga,3457.0,Center Forward,107,Marseille,147,"['05d5d485-eef8-467e-912c-c9a4455047f6', '37df9367-caed-4415-9733-561afe51ceca', 'c2d148d8-4859-4c45-be6a-98b9d9993c27']",33,,,,,,,,,,,,,,,,,,Marseille,147,00:06:33.907,Carry,True,67.6,50.9,,,64.5,50.7
,,,,"[65.1, 62.1]",,,,,,,,,,,,0.823276,,,,,,,,,,,,,87a2343f-55bb-4aba-9862-36fc31a754b6,2078,,,"[65.1, 62.7]",3829500,51,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Rémy Cabella,3420.0,Center Attacking Midfield,107,Marseille,147,"['451393bc-2c99-4aee-aafb-683468629520', 'cbe36aea-2ca0-4732-8e06-e4390ec43a88']",35,,,,,,,,,,,,,,,,,,Marseille,147,00:06:35.071,Carry,,65.1,62.7,,,65.1,62.1
,,,,"[38.7, 65.6]",,,,,,,,,,,,1.85734,,,,,,,,,,,,,f80c4b0e-4b51-48df-8f8a-7d0e60a98a54,2089,,,"[41.4, 63.0]",3829500,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Zlatan Ibrahimović,3672.0,Center Forward,108,Paris Saint-Germain,131,"['08edb8b0-0d02-4740-a657-5a4064e853d4', 'b04406b6-27d2-4752-8bc4-25ce6aa40ed3', 'de8cbcff-a84e-4f40-994c-02b70e083a69']",54,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:06:54.058,Carry,True,41.4,63.0,,,38.7,65.6
,,,,"[51.2, 54.2]",,,,,,,,,,,,0.158485,,,,,,,,,,,,,99cb46d1-2d40-4139-a066-d0b29f9ad33d,2094,,,"[56.8, 53.9]",3829500,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,108,Paris Saint-Germain,131,"['06114e04-1580-4b6b-b397-a20c2af8a07b', '8a4c0477-5a02-4566-aaae-adc3514f6414', '9e4262c1-9c6a-4592-9c1c-a06ed07ef05a']",57,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:06:57.256,Carry,True,56.8,53.9,,,51.2,54.2
