x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
111.7,41.0,Head,Normal,1,0,0,0.074019946,Paris Saint-Germain,Marcos Aoás Corrêa,82,35,8.360023923410743,0.8306282144307795,1,0,1
102.0,46.9,Right Foot,Normal,0,0,1,0.25058663,Paris Saint-Germain,Zlatan Ibrahimović,91,37,19.277188591700813,0.40119724769543524,1,0,1
109.2,41.2,Head,Normal,0,0,0,0.080745056,Paris Saint-Germain,Marcos Aoás Corrêa,7,43,10.866462165764897,0.6534843869413643,1,0,1
95.2,57.1,Left Foot,Normal,0,0,0,0.0140274605,Paris Saint-Germain,Ángel Fabián Di María Hernández,14,16,30.123910768690042,0.29304598950668703,0,0,1
63.0,40.8,Right Foot,Lob,0,0,0,0.003537224,Paris Saint-Germain,Zlatan Ibrahimović,16,37,57.00561375864661,0.12824499497973366,1,0,1
105.0,52.9,Left Foot,Normal,0,1,0,0.09409077,Paris Saint-Germain,Ángel Fabián Di María Hernández,22,19,19.784084512557055,0.47864736198941576,0,0,1
114.6,38.1,Left Foot,Normal,1,1,0,0.36291397,Paris Saint-Germain,Edinson Roberto Cavani Gómez,22,36,5.724508712544689,1.19131103073142,1,1,0
99.4,31.0,Right Foot,Normal,0,1,0,0.034316353,Paris Saint-Germain,Javier Matías Pastore,23,12,22.48021352211762,0.35167010714039376,1,1,0
103.9,51.5,Right Foot,Half Volley,0,0,0,0.07941869,Paris Saint-Germain,Zlatan Ibrahimović,25,0,19.785348114198037,0.4470605848314986,0,0,1
93.6,55.9,Right Foot,Normal,0,0,0,0.01507959,Paris Saint-Germain,Edinson Roberto Cavani Gómez,27,15,30.81833869630224,0.27551653787952857,0,0,1
98.1,43.4,Right Foot,Normal,0,0,0,0.10155114,Paris Saint-Germain,Zlatan Ibrahimović,35,14,22.162355470481927,0.3311858487734694,1,0,1
99.1,37.7,Right Foot,Normal,1,0,0,0.04345059,Paris Saint-Germain,Ángel Fabián Di María Hernández,40,40,21.026174164597805,0.34672345379224634,1,1,0
113.1,44.9,Head,Normal,1,0,0,0.07561195,Paris Saint-Germain,Thiago Emiliano da Silva,41,43,8.462860036654279,0.9753959073722942,1,0,1
105.7,43.1,Right Foot,Normal,0,1,0,0.1595827,Paris Saint-Germain,Zlatan Ibrahimović,45,52,14.632156368765335,0.5011303943750404,1,0,1
114.9,43.6,Left Foot,Normal,0,1,0,0.6648081,Paris Saint-Germain,Edinson Roberto Cavani Gómez,46,38,6.242595614005439,1.2449434090941522,1,0,1
106.6,37.2,Left Foot,Half Volley,0,1,0,0.17507629,Paris Saint-Germain,Javier Matías Pastore,46,39,13.689411966918087,0.5332617696887639,1,1,0
107.2,35.0,Right Foot,Normal,0,0,1,0.4351613,Paris Saint-Germain,Maxwell Scherrer Cabelino Andrade,49,18,13.741906709041505,0.557012029519016,1,1,0
113.4,36.3,Right Foot,Volley,0,1,1,0.30746105,Paris Saint-Germain,Zlatan Ibrahimović,53,3,7.566372975210774,1.0126526075472455,1,1,0
109.4,23.8,Right Foot,Normal,0,1,0,0.057693005,Paris Saint-Germain,Edinson Roberto Cavani Gómez,55,25,19.359752064528095,0.6649328885292051,0,1,0
108.7,57.2,Right Foot,Normal,0,1,0,0.023819009,Paris Saint-Germain,Javier Matías Pastore,67,29,20.57984450864486,0.6264621174246395,0,0,1
104.8,32.3,Right Foot,Normal,0,1,0,0.58671016,Paris Saint-Germain,Zlatan Ibrahimović,75,12,17.039072744724113,0.4725826470039579,1,1,0
112.0,50.4,Right Foot,Normal,0,0,0,0.2621347,Paris Saint-Germain,Javier Matías Pastore,76,2,13.12097557348538,0.8581467921149293,0,0,1
105.2,34.6,Left Foot,Normal,0,0,1,0.20260298,Paris Saint-Germain,Zlatan Ibrahimović,77,34,15.75436447464638,0.4848666595509598,1,1,0
110.6,53.1,Right Foot,Volley,0,1,0,0.0490616,Paris Saint-Germain,Zlatan Ibrahimović,79,23,16.123585209251697,0.7426038484959068,0,0,1
105.4,38.3,Right Foot,Half Volley,1,0,0,0.16839604,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,80,24,14.698639392814556,0.4912464011638462,1,1,0
109.5,34.3,Right Foot,Normal,0,1,0,0.4817113,Paris Saint-Germain,Edinson Roberto Cavani Gómez,80,26,11.947384651043928,0.6708031670148005,1,1,0
109.8,45.0,Right Foot,Normal,1,1,0,0.12553844,Paris Saint-Germain,Edinson Roberto Cavani Gómez,89,31,11.359577456930344,0.6890273944658628,1,0,1
97.9,48.4,Left Foot,Normal,0,0,0,0.03815984,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,89,51,23.642546394159822,0.3282424604987615,1,0,1
