x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second
99.2,26.9,Right Foot,Normal,0,0,0,0.05978967,Paris Saint-Germain,Edinson Roberto Cavani Gómez,24,8
109.1,29.7,Right Foot,Lob,0,1,0,0.37860432,Paris Saint-Germain,Edinson Roberto Cavani Gómez,24,53
96.2,44.2,Left Foot,Normal,1,0,0,0.05799304,Paris Saint-Germain,Zlatan Ibrahimović,27,44
110.2,38.7,Head,Normal,0,0,0,0.054643944,Paris Saint-Germain,Marcos Aoás Corrêa,34,52
107.4,49.4,Left Foot,Volley,1,1,0,0.12599364,Paris Saint-Germain,Blaise Matuidi,36,54
103.8,26.6,Right Foot,Normal,0,0,0,0.056423116,Paris Saint-Germain,Zlatan Ibrahimović,38,14
107.9,25.7,Left Foot,Normal,0,0,0,0.12515905,Paris Saint-Germain,Edinson Roberto Cavani Gómez,38,53
109.4,31.7,Left Foot,Normal,1,1,1,0.08540717,Paris Saint-Germain,Blaise Matuidi,45,57
118.0,49.6,Right Foot,Volley,1,1,0,0.020889385,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,46,17
112.2,40.0,Right Foot,Normal,0,1,1,0.6517175,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,12
99.5,33.9,Left Foot,Lob,1,0,1,0.22183202,Paris Saint-Germain,Ángel Fabián Di María Hernández,51,41
113.0,43.1,Head,Normal,1,0,0,0.16283295,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,53,53
105.5,41.2,Right Foot,Volley,0,1,1,0.15513325,Paris Saint-Germain,Zlatan Ibrahimović,55,52
89.4,48.5,Right Foot,Lob,0,0,0,0.045847256,Paris Saint-Germain,Zlatan Ibrahimović,64,4
105.6,43.4,Right Foot,Normal,1,1,0,0.1371511,Paris Saint-Germain,Zlatan Ibrahimović,71,41
111.9,29.7,Left Foot,Normal,0,1,1,0.19318242,Paris Saint-Germain,Maxwell Scherrer Cabelino Andrade,75,38
